,verb_noun,counts,Subject,Intent
0,"set,shipping,address",93,shipping address,set_up
1,"track,order",60,order,enquiry
2,"delete,account",40,account,deletion
3,"change,shipping,address",40,shipping address,modification
4,"check,status,refund",38,refund,enquiry
5,"got,create,account",35,account,set_up
6,"check,payment,methods",35,payment methods,enquiry
7,"have,set,shipping,address",35,shipping address,set_up
8,"switch,account",33,account,switch
9,"help,set,shipping,address",33,shipping address,set_up
10,"tell,create,accounts,email",32,account,set_up
11,"hacked,get,account",31,account,restoration
12,"have,open,account",31,account,set_up
13,"know,set,shipping,address",30,shipping address,set_up
14,"create,account",29,account,set_up
15,"tell,register,accounts,email,address",28,account,set_up
16,"get,invoice",28,invoice,enquiry
17,"get,invoices",28,invoice,enquiry
18,"tell,create,accounts,email,address",27,account,set_up
19,"got,open,account",27,account,set_up
20,"buy,item",27,purchase,enquiry
21,"check,status,order",26,order,enquiry
22,"check,money,policy",26,refund,enquiry
23,"have,create,account",26,account,set_up
24,"hacked,recover,account",26,account,restoration
25,"tell,register,accounts,email",26,account,set_up
26,"check,cancellation,fee",25,cancellation_fee,enquiry
27,"file,complaint",25,complaint,enquiry
28,"check,order",25,order,enquiry
29,"check,cancellation,fees",24,cancellation_fee,enquiry
30,"check,invoice",24,invoice,enquiry
31,"help,track,order",24,order,enquiry
32,"get,refund",24,refund,enquiry
33,"talk,",23,customer_support ,enquiry
34,"talk,agent",23,customer_support ,enquiry
35,"got,register,account",23,account,enquiry
36,"check,options,delivery",23,delivery,enquiry
37,"ask,see,agent,bill",23,invoice,enquiry
38,"cancel,made,order",23,order,cancellation
39,"help,delete,account",23,account,deletion
40,"have,register,account",22,account,set_up
41,"tell,number",22,customer_support ,enquiry
42,"check,delivery,options",22,delivery,enquiry
43,"check,refund,policy",22,refund,enquiry
44,"help,setting,shipping,address",22,shipping address,set_up
45,"check,invoices",22,invoice,enquiry
46,"open,account",22,account,set_up
47,"tell,email",21,customer_support ,enquiry
48,"recover,password",21,account,restoration
49,"change,order",21,order,modification
50,"check,is,refund",21,refund,enquiry
51,"ask,cancel,agent,account",20,account,deletion
52,"speak,",20,customer_support ,enquiry
53,"check,refund,status",20,refund,enquiry
54,"ask,obtain,agent,reimbursement",20,refund,enquiry
55,"ask,see,agent,invoices",20,invoice ,enquiry
56,"register,",19,account,set_up
57,"tell,email,address",19,customer_support ,enquiry
58,"help,buy,item",19,purchase,enquiry
59,"tell,mail,address",19,customer_support ,enquiry
60,"cancel,order",19,order,cancellation
61,"remove,account",19,account,deletion
62,"leave,review",19,feedback,enquiry
63,"want,create,account",19,account,set_up
64,"tell,phone,number",19,customer_support ,enquiry
65,"ask,report,making,agent,issue,payment",19,complaint,enquiry
66,"ask,remove,agent,account",19,account,deletion
67,"cancel,account",19,account,deletion
68,"track,refund",19,refund,enquiry
69,"tell,mail",19,customer_support ,enquiry
70,"understand,speak,person",19,customer_support ,enquiry
71,"tell,contact,number",18,customer_support ,enquiry
72,"ask,close,agent,account",18,account,deletion
73,"close,account",18,account,deletion
74,"change,account",18,account,modification
75,"report,payment,issues",18,complaint,enquiry
76,"helping,speak,agent",18,customer_support ,enquiry
77,"know,delete,account",18,account,deletion
78,"hacked,recover,profile",18,account,restoration
79,"contact,agent",18,customer_support ,enquiry
80,"call,",18,customer_support ,enquiry
81,"see,invoice",18,invoice,enquiry
82,"contact,",18,customer_support ,enquiry
83,"hacked,get,user,account",18,account,restoration
84,"ask,get,agent,reimbursement",17,refund,enquiry
85,"report,issue,payment",17,complaint,enquiry
86,"make,order",17,order,set_up
87,"want,remove,account",17,account,deletion
88,"have,open,user,account",17,account,set_up
89,"see,invoices",17,invoice,enquiry
90,"know,cancel,made,order",17,order,cancellation
91,"have,do,set,shipping,address",17,shipping address,set_up
92,"want,delete,account",17,account,deletion
93,"make,purchase",17,purchase,enquiry
94,"see,bill",17,invoice,enquiry
95,"report,payment,issue",17,complaint,enquiry
96,"see,bills",16,invoice,enquiry
97,"want,close,account",16,account,deletion
98,"have,send,question,email",16,customer_support ,enquiry
99,"understand,speak,human",16,customer_support ,enquiry
100,"helping,talk,human",16,customer_support ,enquiry
101,"know,track,order",16,order,enquiry
102,"ask,notify,agent,issue,payment",16,complaint,enquiry
103,"have,paying,report,issue,order",16,complaint,enquiry
104,"want,talk,information",16,customer_support ,enquiry
105,"have,trying,pay,report,problem,order",16,complaint,enquiry
106,"report,registration,issue",16,complaint,enquiry
107,"want,know,create,accounts,email",16,account,set_up
108,"switch,user",16,account,switch
109,"want,speak,information",16,customer_support ,enquiry
110,"tell,register,account,email,address",16,account,enquiry
111,"ask,notify,agent,payment,problem",16,complaint,enquiry
112,"ask,open,agent,account",16,account,set_up
113,"ask,track,agent,order",16,order,enquiry
114,"understand,speak,agent",15,customer_support ,enquiry
115,"ask,report,paying,agent,issue",15,complaint,enquiry
116,"ask,notify,making,agent,issue,payment",15,complaint,enquiry
117,"have,trying,pay,notify,problem,order",15,complaint,enquiry
118,"changed,remove,mind,account",15,account,deletion
119,"hacked,get,profile",15,account,restoration
120,"need,open,account",15,account,set_up
121,"leave,review,service",15,feedback,enquiry
122,"ask,open,agent,user,account",15,account,set_up
123,"subscribe,company,newsletter",15,newletter,subscription
124,"have,call,question",15,customer_support ,subscription
125,"have,trying,pay,inform,issue,order",15,complaint,enquiry
126,"have,paying,inform,issue,order",15,complaint,enquiry
127,"help,change,shipping,address",15,shipping address,modification
128,"need,call,information",15,customer_support ,enquiry
129,"want,use,change,account",15,account,enquiry
130,"buy,items",15,purchase,enquiry
131,"speak,agent",15,customer_support ,enquiry
132,"show,mail,address",15,customer_support ,enquiry
133,"need,create,account",15,account,set_up
134,"report,registration,issues",15,complaint,enquiry
135,"ask,notify,paying,agent,problems",15,complaint,enquiry
136,"got,create,user,account",15,account,enquiry
137,"helping,contact,agent",15,customer_support ,enquiry
138,"helping,talk,",15,customer_support ,enquiry
139,"changed,close,mind,account",14,account,deletion
140,"check,options,ticket,delivery",14,delivery,enquiry
141,"tell,modify,purchase",14,purchase,modification
142,"helping,contact,",14,customer_support ,enquiry
143,"want,use,switch,account",14,account,switch
144,"see,payment,methods",14,payment methods,enquiry
145,"understand,talk,human",14,customer_support ,enquiry
146,"want,know,create,accounts,email,address",14,account,set_up
147,"ask,notify,agent,problem,payment",14,complaint,enquiry
148,"understand,contact,person",14,customer_support ,enquiry
149,"understand,contact,human",14,customer_support ,enquiry
150,"register,accounts,email,address",14,account,set_up
151,"have,paying,notify,problem,order",14,complaint,enquiry
152,"helping,talk,agent",14,customer_support ,enquiry
153,"subscribe,newsletter",14,newletter,subscription
