,query,verbs,nouns,verb_cancel
9,could you give me information about order cancellations?,give,"information,order,cancellations",False
12,I do not want the order,want,order,False
14,would you give me information about order cancellations?,give,"information,order,cancellations",False
31,where could I get information about order cancellations?,get,"information,order,cancellations",False
32,I can't pay for the order,pay,order,False
34,I am trying to find information about order cancelations,"trying,find","information,order,cancelations",False
51,I can't pay for the last order I have made,"pay,made",order,False
60,I want to know more about order cancelations,"want,know","order,cancelations",False
79,I can't pay for my last order,pay,order,False
105,I would like to know about order cancellations,"like,know","order,cancellations",False
116,I am looking for information about order cancelations,looking,"information,order,cancelations",False
131,I do not want to pay for the last order I have made,"want,pay,made",order,False
147,I do not want to pay for the order I made,"want,pay,made",order,False
151,I can't pay for the order I have made,"pay,made",order,False
163,can you tell me about order cancellations?,tell,"order,cancellations",False
181,I do not want to pay for my last order,"want,pay",order,False
184,where can I get information about order cancellations?,get,"information,order,cancellations",False
189,will you give me information about order cancelations?,give,"information,order,cancelations",False
192,I don't want the order I have made,"want,made",order,False
218,I do not want to pay for an order I made,"want,pay,made",order,False
219,I want to know about order cancellations,"want,know","order,cancellations",False
220,I want to know more about order cancellations,"want,know","order,cancellations",False
223,could you tell me more about order cancellations?,tell,"order,cancellations",False
225,how could I find information about order cancellations?,find,"information,order,cancellations",False
228,I cannot pay for my last order,pay,order,False
229,tell me about order cancelations,tell,"order,cancelations",False
234,I can't pay for an order I have made,"pay,made",order,False
235,would you give me information about order cancelations?,give,"information,order,cancelations",False
252,how could I get information about order cancelations?,get,"information,order,cancelations",False
254,I don't want to pay for the last order I have made,"want,pay,made",order,False
263,order cancellation,,"order,cancellation",False
271,I don't want the last order I made,"want,made",order,False
272,I would like to know more about order cancellations,"like,know","order,cancellations",False
273,tell me more about order cancelations,tell,"order,cancelations",False
277,order cancelation,,"order,cancelation",False
296,find information about order cancelations,find,"information,order,cancelations",False
299,I don't want an order I have made,"want,made",order,False
305,can you help me to add something to an order?,"help,add",order,False
306,can you help me removing some items?,"help,removing",items,False
307,help adding an item,"help,adding",item,False
308,I try to change my last order,"try,change",order,False
309,could I add an item to an order?,add,"item,order",False
310,I have problems with removing an item,"have,removing","problems,item",False
311,I have a problem with removing several items,"have,removing","problem,items",False
312,I have to change my order,"have,change",order,False
313,I have a problem with removing something,"have,removing",problem,False
314,I have got to change several items of an order,"got,change","items,order",False
315,I don't know how I could add something,"know,add",,False
316,I don't know how to change an item of an order,"know,change","item,order",False
317,assistance with removing several items from an order,removing,"assistance,items,order",False
318,I want assistance to change an order I made,"want,change,made","assistance,order",False
319,how can I change something of an order?,change,order,False
320,I need help with removing something,"need,removing",help,False
321,I need help to add several items,"need,add","help,items",False
322,I would like to add several items to an order,"like,add","items,order",False
323,I don't know how I can remove several items from an order,"know,remove","items,order",False
324,can I change the order I made?,"change,made",order,False
325,could you help me change my order?,"help,change",order,False
326,I need help with changing the order I made,"need,changing,made","help,order",False
327,can you help me to remove something?,"help,remove",,False
328,how to add something?,add,,False
329,assistance changing the last order I made,"changing,made","assistance,order",False
330,can you help me to remove an item?,"help,remove",item,False
331,how to change an order?,change,order,False
332,help to add several items to an order,"help,add","items,order",False
333,I want to remove an item from an order,"want,remove","item,order",False
334,I have to remove several items,"have,remove",items,False
335,I have forgotten to include an item,"forgotten,include",item,False
336,could I add something to an order?,add,order,False
337,I have to add something,"have,add",,False
338,remove some items from an order,remove,"items,order",False
339,help me remove an item from an order,"help,remove","item,order",False
340,can you help me changing the order I made?,"help,changing,made",order,False
341,remove item from order,remove,"item,order",False
342,question about changing an order,changing,"question,order",False
343,how could I remove several items from an order?,remove,"items,order",False
344,I have to add several items to an order,"have,add","items,order",False
345,problem with adding something,adding,problem,False
346,change an order,change,order,False
347,can you help me to change an order I have made?,"help,change,made",order,False
348,could you help me add something to an order?,"help,add",order,False
349,could you help me change the order I have made?,"help,change,made",order,False
350,help to add an item,"help,add",item,False
351,is it possible to change the order I have made?,"change,made",order,False
352,help to change an order I have made,"help,change,made",order,False
353,help me change something of an order,"help,change",order,False
354,I don't know how to remove an item from an order,"know,remove","item,order",False
355,question about changing my order,changing,"question,order",False
356,I am trying to change my last order,"trying,change",order,False
357,help to change an item of an order,"help,change","item,order",False
358,I need help changing my order,"need,changing","help,order",False
359,I need to change the last order I have made,"need,change,made",order,False
360,I need assistance to change an order,"need,change","assistance,order",False
361,I have missed some items in the order,missed,"items,order",False
362,is it possible to change an order I have made?,"change,made",order,False
363,I do not know how to add an item,"know,add",item,False
364,I need assistance with changing the order I have made,"need,changing,made","assistance,order",False
365,can you help me removing several items from an order?,"help,removing","items,order",False
366,can you help me removing several items?,"help,removing",items,False
367,I want assistance to change the last order,"want,change","assistance,order",False
368,I don't know how to remove some items,"know,remove",items,False
369,I need help to change several items of an order,"need,change","help,items,order",False
370,help me remove several items,"help,remove",items,False
371,I have problems with adding something,"have,adding",problems,False
372,I try to add something,"try,add",,False
373,problems with changing my last order,changing,"problems,order",False
374,I have a question about changing the last order I have made,"have,changing,made","question,order",False
375,help with adding some items,"help,adding",items,False
376,is it possible to add some items to an order?,add,"items,order",False
377,can you help me to remove several items?,"help,remove",items,False
378,I can't remove some items,remove,items,False
379,how do I add several items to an order?,add,"items,order",False
380,I want to remove some items from an order,"want,remove","items,order",False
381,I need assistance with adding some items,"need,adding","assistance,items",False
382,I would like to remove something,"like,remove",,False
383,I need help with removing an item,"need,removing","help,item",False
384,could you help me to remove an item?,"help,remove",item,False
385,I have to remove several items from an order,"have,remove","items,order",False
386,I try to remove something from an order,"try,remove",order,False
387,I have problems with adding some items to an order,"have,adding","problems,items,order",False
388,assistance to add something,add,assistance,False
389,how can I add an item to an order?,add,"item,order",False
390,how can I remove several items from an order?,remove,"items,order",False
391,I want help adding several items to an order,"want,adding","help,items,order",False
392,I do not know how I could add something,"know,add",,False
393,problem with changing an order,changing,"problem,order",False
394,is it possible to change an order I made?,"change,made",order,False
395,I need help to change something of an order,"need,change","help,order",False
396,how can I remove some items from an order?,remove,"items,order",False
397,I don't know how I can add an item,"know,add",item,False
398,I am trying to change the last order I made,"trying,change,made",order,False
399,I cannot remove some items from an order,remove,"items,order",False
400,I want assistance to change an order I have made,"want,change,made","assistance,order",False
401,assistance to remove an item,remove,"assistance,item",False
402,I have problems with removing something,"have,removing",problems,False
403,assistance to change an order,change,"assistance,order",False
404,help me change an item of an order,"help,change","item,order",False
405,how can I get information about changing orders?,"get,changing","information,orders",False
406,I want assistance to change an item of an order,"want,change","assistance,item,order",False
407,I need help to change an order I made,"need,change,made","help,order",False
408,can you help me add several items to an order?,"help,add","items,order",False
409,help me changing something of an order,"help,changing",order,False
410,how do I change several items of an order?,change,"items,order",False
411,how could I get information about order changes?,get,"information,order,changes",False
412,can you help me to add some items?,"help,add",items,False
413,I have got to remove something,"got,remove",,False
414,I need help with adding an item to an order,"need,adding","help,item,order",False
415,I have a problem with changing the order I have made,"have,changing,made","problem,order",False
416,problems with adding an item to an order,adding,"problems,item,order",False
417,information about changing orders,changing,"information,orders",False
418,how to change the last order I have made?,"change,made",order,False
419,I want assistance to remove something from an order,"want,remove","assistance,order",False
420,I need assistance to change the last order,"need,change","assistance,order",False
421,I do not know how I can add an item,"know,add",item,False
422,I have a problem with changing some items of an order,"have,changing","problem,items,order",False
423,assistance changing my last order,changing,"assistance,order",False
424,I have problems with changing something of an order,"have,changing","problems,order",False
425,I have problems with removing something from an order,"have,removing","problems,order",False
426,I have to change my last order,"have,change",order,False
427,could you help me remove some items from an order?,"help,remove","items,order",False
428,help to change the order I made,"help,change,made",order,False
429,I want to add some items to an order,"want,add","items,order",False
430,I do not know how I can add several items,"know,add",items,False
431,could I add something?,add,,False
432,help me removing several items,"help,removing",items,False
433,I don't know how I could change some items of an order,"know,change","items,order",False
434,I don't know how I can add an item to an order,"know,add","item,order",False
435,help changing an order I made,"help,changing,made",order,False
436,how can I add something?,add,,False
437,order change,,"order,change",False
438,I can't add some items to an order,add,"items,order",False
439,help to change the last order I made,"help,change,made",order,False
440,I need assistance to add an item,"need,add","assistance,item",False
441,I cannot change several items of an order,change,"items,order",False
442,could you help me removing something?,"help,removing",,False
443,could I change the order I made?,"change,made",order,False
444,I would like to change the last order I have made,"like,change,made",order,False
445,I do not know how I can change an item of an order,"know,change","item,order",False
446,add some items to an order,add,"items,order",False
447,I want help adding some items to an order,"want,adding","help,items,order",False
448,assistance with adding several items,adding,"assistance,items",False
449,will you give me information about order changes?,give,"information,order,changes",False
450,help me to remove something,"help,remove",,False
451,I don't know how to remove some items from an order,"know,remove","items,order",False
452,I want to remove several items,"want,remove",items,False
453,I want assistance to add several items,"want,add","assistance,items",False
454,is it possible to change an order?,change,order,False
455,I need assistance with removing something from an order,"need,removing","assistance,order",False
456,I have a question about changing an order I made,"have,changing,made","question,order",False
457,I want to change something of an order,"want,change",order,False
458,I want assistance to change the last order I made,"want,change,made","assistance,order",False
459,problem with adding some items to an order,adding,"problem,items,order",False
460,could you help me change the order I made?,"help,change,made",order,False
461,I don't know how to add something,"know,add",,False
462,I have a problem with removing something from an order,"have,removing","problem,order",False
463,the items I have purchased aren't the ones I wanted,"purchased,wanted","items,ones",False
464,help me change several items of an order,"help,change","items,order",False
465,help with adding an item to an order,"help,adding","item,order",False
466,I have a problem with changing my order,"have,changing","problem,order",False
467,can you help me removing something?,"help,removing",,False
