query,verbs,nouns,verb_noun,Subject,Intent,Sentiment
could you help me cancelling the last order I made?,"help,cancelling,made",order,"help,cancelling,made,order",order,cancellation,Positive
could you help me cancelling an order I made?,"help,cancelling,made",order,"help,cancelling,made,order",order,cancellation,Positive
help me cancelling an order I made,"help,cancelling,made",order,"help,cancelling,made,order",order,cancellation,Positive
help me cancelling the last order I have made,"help,cancelling,made",order,"help,cancelling,made,order",order,cancellation,Positive
help with cancelling the order I have made,"help,cancelling,made",order,"help,cancelling,made,order",order,cancellation,Positive
could you help me cancelling the order I made?,"help,cancelling,made",order,"help,cancelling,made,order",order,cancellation,Positive
help with cancelling the last order I have made,"help,cancelling,made",order,"help,cancelling,made,order",order,cancellation,Positive
can you help me cancelling the order I made?,"help,cancelling,made",order,"help,cancelling,made,order",order,cancellation,Positive
help cancelling the last order I have made,"help,cancelling,made",order,"help,cancelling,made,order",order,cancellation,Positive
can you help me canceling my last order?,"help,canceling",order,"help,canceling,order",order,cancellation,Positive
help me canceling my order,"help,canceling",order,"help,canceling,order",order,cancellation,Positive
help canceling the last order,"help,canceling",order,"help,canceling,order",order,cancellation,Positive
help canceling my last order,"help,canceling",order,"help,canceling,order",order,cancellation,Positive
help me canceling my last order,"help,canceling",order,"help,canceling,order",order,cancellation,Positive
can you help me canceling the last order?,"help,canceling",order,"help,canceling,order",order,cancellation,Positive
help canceling an order,"help,canceling",order,"help,canceling,order",order,cancellation,Positive
I do not know how to cancel the last order I have made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I do not know how I can cancel the last order I made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I do not know how I can cancel the order I made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I don't know how I could cancel the order I made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I don't know how to cancel an order I made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I do not know how I can cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I don't know how to cancel the order I made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I do not know how I could cancel the order I have made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I do not know how to cancel the last order I made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I don't know how I can cancel the last order I made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I don't know how I could cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I do not know how to cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I do not know how I could cancel the last order I made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I do not know how I can cancel the order I have made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I don't know how to cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I don't know how I can cancel the last order I have made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
I don't know how I can cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",order,cancellation,Negative
how to cancel an order?,cancel,order,"cancel,order",order,cancellation,Negative
how could I cancel an order?,cancel,order,"cancel,order",order,cancellation,Negative
is it possible to cancel my order?,cancel,order,"cancel,order",order,cancellation,Negative
where can I cancel my order?,cancel,order,"cancel,order",order,cancellation,Negative
where do I cancel the last order?,cancel,order,"cancel,order",order,cancellation,Negative
how do I cancel my order?,cancel,order,"cancel,order",order,cancellation,Negative
how can I cancel an order?,cancel,order,"cancel,order",order,cancellation,Negative
would it be possible to cancel my order?,cancel,order,"cancel,order",order,cancellation,Negative
where could I cancel the last order?,cancel,order,"cancel,order",order,cancellation,Negative
where could I cancel my order?,cancel,order,"cancel,order",order,cancellation,Negative
cancel order,cancel,order,"cancel,order",order,cancellation,Negative
how to cancel my order?,cancel,order,"cancel,order",order,cancellation,Negative
is it possible to cancel the last order?,cancel,order,"cancel,order",order,cancellation,Negative
how to cancel an order,cancel,order,"cancel,order",order,cancellation,Negative
i  wanna cancel an order,cancel,order,"cancel,order",order,cancellation,Negative
how can I cancel an order?,cancel,order,"cancel,order",order,cancellation,Negative
can I cancel an order?,cancel,order,"cancel,order",order,cancellation,Negative
can i cancel an order?,cancel,order,"cancel,order",order,cancellation,Negative
how do I cancel an order?,cancel,order,"cancel,order",order,cancellation,Negative
where to cancel an order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
is it possible to cancel the order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
where can I cancel the order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how do I cancel the last order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
cancel an order I have made,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
where could I cancel the order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how do I cancel the last order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how to cancel the last order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how could I cancel the last order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how can I cancel the last order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
would it be possible to cancel the last order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
is it possible to cancel the last order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
where do I cancel the order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
where can I cancel the last order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how can I cancel an order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
is it possible to cancel an order I have made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how could I cancel the last order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how could I cancel an order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how to cancel the last order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
would it be possible to cancel the order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
where could I cancel an order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how can I cancel an order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
how do I cancel an order I made?,"cancel,made",order,"cancel,made,order",order,cancellation,Negative
help me to cancel an order I have made,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
could you help me cancel the last order I have made?,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
can you help me to cancel the order I made?,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
can you help me to cancel the last order I have made?,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
help me cancel the last order I made,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
help to cancel an order I made,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
can you help me to cancel an order I made?,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
help to cancel an order I have made,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
help to cancel the order I made,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
can you help me cancel the order I made?,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
could you help me cancel the order I have made?,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
help me cancel the order I made,"help,cancel,made",order,"help,cancel,made,order",order,cancellation,Positive
I would like to cancel my last order,"like,cancel",order,"like,cancel,order",order,cancellation,Positive
I would like to cancel an order,"like,cancel",order,"like,cancel,order",order,cancellation,Positive
I would like to cancel the last order,"like,cancel",order,"like,cancel,order",order,cancellation,Positive
could you help me to cancel an order?,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
help to cancel my order,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
