,query,verbs,nouns,verb_noun,cancel_noun_verb
0,I have problems with canceling an order,"have,canceling","problems,order","have,canceling,problems,order",TRUE
1,how can I find information about canceling orders?,"find,canceling","information,orders","find,canceling,information,orders",TRUE
2,I need help with canceling the last order,"need,canceling","help,order","need,canceling,help,order",TRUE
3,could you help me cancelling the last order I made?,"help,cancelling,made",order,"help,cancelling,made,order",TRUE
4,problem with cancelling an order I made,"cancelling,made","problem,order","cancelling,made,problem,order",TRUE
5,can you help me canceling my last order?,"help,canceling",order,"help,canceling,order",TRUE
6,I do not know how to cancel the last order I have made,"know,cancel,made",order,"know,cancel,made,order",TRUE
7,problems with canceling my orders,canceling,"problems,orders","canceling,problems,orders",TRUE
8,I have problems with cancelling the last order I have made,"have,cancelling,made","problems,order","have,cancelling,made,problems,order",TRUE
9,could you give me information about order cancellations?,give,"information,order,cancellations","give,information,order,cancellations",TRUE
10,I need help canceling the last order I have made,"need,canceling,made","help,order","need,canceling,made,help,order",TRUE
11,I need help with cancelling the order I made,"need,cancelling,made","help,order","need,cancelling,made,help,order",TRUE
12,I do not want the order,want,order,"want,order",FALSE
13,how could I find information about cancelling an order?,"find,cancelling","information,order","find,cancelling,information,order",TRUE
14,would you give me information about order cancellations?,give,"information,order,cancellations","give,information,order,cancellations",TRUE
15,I have problems with cancelling my order,"have,cancelling","problems,order","have,cancelling,problems,order",TRUE
16,how to cancel an order?,cancel,order,"cancel,order",TRUE
17,I have problems with cancelling an order I have made,"have,cancelling,made","problems,order","have,cancelling,made,problems,order",TRUE
18,assistance with cancelling the order I made,"cancelling,made","assistance,order","cancelling,made,assistance,order",TRUE
19,can you give me information about canceling an order?,"give,canceling","information,order","give,canceling,information,order",TRUE
20,problems with canceling orders,canceling,"problems,orders","canceling,problems,orders",TRUE
21,I do not know how I can cancel the last order I made,"know,cancel,made",order,"know,cancel,made,order",TRUE
22,I would like to cancel the order I made,"like,cancel,made",order,"like,cancel,made,order",TRUE
23,I need help canceling an order,"need,canceling","help,order","need,canceling,help,order",TRUE
24,how could I get information about cancelling an order?,"get,cancelling","information,order","get,cancelling,information,order",TRUE
25,I need help cancelling an order I made,"need,cancelling,made","help,order","need,cancelling,made,help,order",TRUE
26,I have problems with cancelling orders,"have,cancelling","problems,orders","have,cancelling,problems,orders",TRUE
27,I have a question about canceling an order,"have,canceling","question,order","have,canceling,question,order",TRUE
28,problem with cancelling orders,cancelling,"problem,orders","cancelling,problem,orders",TRUE
29,problems with cancelling an order,cancelling,"problems,order","cancelling,problems,order",TRUE
30,how could I cancel an order?,cancel,order,"cancel,order",TRUE
31,where could I get information about order cancellations?,get,"information,order,cancellations","get,information,order,cancellations",TRUE
32,I can't pay for the order,pay,order,"pay,order",FALSE
33,I need assistance cancelling an order I made,"need,cancelling,made","assistance,order","need,cancelling,made,assistance,order",TRUE
34,I am trying to find information about order cancelations,"trying,find","information,order,cancelations","trying,find,information,order,cancelations",TRUE
35,I want help cancelling an order I have made,"want,cancelling,made","help,order","want,cancelling,made,help,order",TRUE
36,I need help with cancelling an order I have made,"need,cancelling,made","help,order","need,cancelling,made,help,order",TRUE
37,where to cancel an order I made?,"cancel,made",order,"cancel,made,order",TRUE
38,is it possible to cancel my order?,cancel,order,"cancel,order",TRUE
39,where can I get information about canceling orders?,"get,canceling","information,orders","get,canceling,information,orders",TRUE
40,assistance cancelling an order I have made,"cancelling,made","assistance,order","cancelling,made,assistance,order",TRUE
41,assistance canceling the order I have made,"canceling,made","assistance,order","canceling,made,assistance,order",TRUE
42,I want to cancel the order I made,"want,cancel,made",order,"want,cancel,made,order",TRUE
43,I do not know how I can cancel the order I made,"know,cancel,made",order,"know,cancel,made,order",TRUE
44,help me to cancel an order I have made,"help,cancel,made",order,"help,cancel,made,order",TRUE
45,I don't know how I could cancel the order I made,"know,cancel,made",order,"know,cancel,made,order",TRUE
46,is it possible to cancel the order I have made?,"cancel,made",order,"cancel,made,order",TRUE
47,would you give me information about canceling orders?,"give,canceling","information,orders","give,canceling,information,orders",TRUE
48,I have a problem with canceling the order I have made,"have,canceling,made","problem,order","have,canceling,made,problem,order",TRUE
49,I need help to cancel the order I made,"need,cancel,made","help,order","need,cancel,made,help,order",TRUE
50,I need help to cancel the last order I have made,"need,cancel,made","help,order","need,cancel,made,help,order",TRUE
51,I can't pay for the last order I have made,"pay,made",order,"pay,made,order",FALSE
52,I would like to cancel my last order,"like,cancel",order,"like,cancel,order",TRUE
53,where can I cancel my order?,cancel,order,"cancel,order",TRUE
54,help me canceling my order,"help,canceling",order,"help,canceling,order",TRUE
55,question about canceling my order,canceling,"question,order","canceling,question,order",TRUE
56,question about canceling an order,canceling,"question,order","canceling,question,order",TRUE
57,problem with canceling the order I have made,"canceling,made","problem,order","canceling,made,problem,order",TRUE
58,could you help me cancelling an order I made?,"help,cancelling,made",order,"help,cancelling,made,order",TRUE
59,question about canceling the last order I made,"canceling,made","question,order","canceling,made,question,order",TRUE
60,I want to know more about order cancelations,"want,know","order,cancelations","want,know,order,cancelations",TRUE
61,could you help me to cancel an order?,"help,cancel",order,"help,cancel,order",TRUE
62,could you help me cancel the last order I have made?,"help,cancel,made",order,"help,cancel,made,order",TRUE
63,where do I cancel the last order?,cancel,order,"cancel,order",TRUE
64,I try to cancel the order I made,"try,cancel,made",order,"try,cancel,made,order",TRUE
65,help me cancelling an order I made,"help,cancelling,made",order,"help,cancelling,made,order",TRUE
66,help me canceling the order I made,"help,canceling,made",order,"help,canceling,made,order",TRUE
67,where can I cancel the order I have made?,"cancel,made",order,"cancel,made,order",TRUE
68,I don't know how to cancel an order I made,"know,cancel,made",order,"know,cancel,made,order",TRUE
69,I would like to cancel an order,"like,cancel",order,"like,cancel,order",TRUE
70,I do not know how I can cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",TRUE
71,I want assistance to cancel the last order I have made,"want,cancel,made","assistance,order","want,cancel,made,assistance,order",TRUE
72,help with canceling an order I made,"help,canceling,made",order,"help,canceling,made,order",TRUE
73,I don't know how to cancel my last order,"know,cancel",order,"know,cancel,order",TRUE
74,I don't know how to cancel the order I made,"know,cancel,made",order,"know,cancel,made,order",TRUE
75,can you help me to cancel the order I made?,"help,cancel,made",order,"help,cancel,made,order",TRUE
76,help to cancel my order,"help,cancel",order,"help,cancel,order",TRUE
77,how do I cancel my order?,cancel,order,"cancel,order",TRUE
78,how do I cancel the last order I made?,"cancel,made",order,"cancel,made,order",TRUE
79,I can't pay for my last order,pay,order,"pay,order",FALSE
80,help me cancelling the last order I have made,"help,cancelling,made",order,"help,cancelling,made,order",TRUE
81,how can I find information about cancelling orders?,"find,cancelling","information,orders","find,cancelling,information,orders",TRUE
82,I need assistance with canceling the last order I have made,"need,canceling,made","assistance,order","need,canceling,made,assistance,order",TRUE
83,I have to cancel my last order,"have,cancel",order,"have,cancel,order",TRUE
84,cancel an order I have made,"cancel,made",order,"cancel,made,order",TRUE
85,I have a question about cancelling my last order,"have,cancelling","question,order","have,cancelling,question,order",TRUE
86,problem with canceling the last order,canceling,"problem,order","canceling,problem,order",TRUE
87,I want assistance to cancel my order,"want,cancel","assistance,order","want,cancel,assistance,order",TRUE
88,can you help me to cancel my order?,"help,cancel",order,"help,cancel,order",TRUE
89,cancelling order,cancelling,order,"cancelling,order",TRUE
90,I want information about canceling orders,"want,canceling","information,orders","want,canceling,information,orders",TRUE
91,I need help with canceling the order I have made,"need,canceling,made","help,order","need,canceling,made,help,order",TRUE
92,help with canceling the order I made,"help,canceling,made",order,"help,canceling,made,order",TRUE
93,I need help with cancelling my order,"need,cancelling","help,order","need,cancelling,help,order",TRUE
94,where could I cancel the order I made?,"cancel,made",order,"cancel,made,order",TRUE
95,find information about cancelling an order,"find,cancelling","information,order","find,cancelling,information,order",TRUE
