,query,category,intent,sentiment
0,I have problems with canceling an order,,,
1,how can I find information about canceling orders?,,,
2,I need help with canceling the last order,,,
3,could you help me cancelling the last order I made?,,,
4,problem with cancelling an order I made,,,
5,can you help me canceling my last order?,,,
6,I do not know how to cancel the last order I have made,,,
7,problems with canceling my orders,,,
8,I have problems with cancelling the last order I have made,,,
9,could you give me information about order cancellations?,,,
10,I need help canceling the last order I have made,,,
11,I need help with cancelling the order I made,,,
12,I do not want the order,,,
13,how could I find information about cancelling an order?,,,
14,would you give me information about order cancellations?,,,
15,I have problems with cancelling my order,,,
16,how to cancel an order?,,,
17,I have problems with cancelling an order I have made,,,
18,assistance with cancelling the order I made,,,
19,can you give me information about canceling an order?,,,
20,problems with canceling orders,,,
21,I do not know how I can cancel the last order I made,,,
22,I would like to cancel the order I made,,,
23,I need help canceling an order,,,
24,how could I get information about cancelling an order?,,,
25,I need help cancelling an order I made,,,
26,I have problems with cancelling orders,,,
27,I have a question about canceling an order,,,
28,problem with cancelling orders,,,
29,problems with cancelling an order,,,
30,how could I cancel an order?,,,
31,where could I get information about order cancellations?,,,
32,I can't pay for the order,,,
33,I need assistance cancelling an order I made,,,
34,I am trying to find information about order cancelations,,,
35,I want help cancelling an order I have made,,,
36,I need help with cancelling an order I have made,,,
37,where to cancel an order I made?,,,
38,is it possible to cancel my order?,,,
39,where can I get information about canceling orders?,,,
40,assistance cancelling an order I have made,,,
41,assistance canceling the order I have made,,,
42,I want to cancel the order I made,,,
43,I do not know how I can cancel the order I made,,,
44,help me to cancel an order I have made,,,
45,I don't know how I could cancel the order I made,,,
46,is it possible to cancel the order I have made?,,,
47,would you give me information about canceling orders?,,,
48,I have a problem with canceling the order I have made,,,
49,I need help to cancel the order I made,,,
50,I need help to cancel the last order I have made,,,
51,I can't pay for the last order I have made,,,
52,I would like to cancel my last order,,,
53,where can I cancel my order?,,,
54,help me canceling my order,,,
55,question about canceling my order,,,
56,question about canceling an order,,,
57,problem with canceling the order I have made,,,
58,could you help me cancelling an order I made?,,,
59,question about canceling the last order I made,,,
60,I want to know more about order cancelations,,,
61,could you help me to cancel an order?,,,
62,could you help me cancel the last order I have made?,,,
63,where do I cancel the last order?,,,
64,I try to cancel the order I made,,,
65,help me cancelling an order I made,,,
66,help me canceling the order I made,,,
67,where can I cancel the order I have made?,,,
68,I don't know how to cancel an order I made,,,
69,I would like to cancel an order,,,
70,I do not know how I can cancel an order I have made,,,
71,I want assistance to cancel the last order I have made,,,
72,help with canceling an order I made,,,
73,I don't know how to cancel my last order,,,
74,I don't know how to cancel the order I made,,,
75,can you help me to cancel the order I made?,,,
76,help to cancel my order,,,
77,how do I cancel my order?,,,
78,how do I cancel the last order I made?,,,
79,I can't pay for my last order,,,
80,help me cancelling the last order I have made,,,
81,how can I find information about cancelling orders?,,,
82,I need assistance with canceling the last order I have made,,,
83,I have to cancel my last order,,,
84,cancel an order I have made,,,
85,I have a question about cancelling my last order,,,
86,problem with canceling the last order,,,
87,I want assistance to cancel my order,,,
88,can you help me to cancel my order?,,,
89,cancelling order,,,
90,I want information about canceling orders,,,
91,I need help with canceling the order I have made,,,
92,help with canceling the order I made,,,
93,I need help with cancelling my order,,,
94,where could I cancel the order I made?,,,
95,find information about cancelling an order,,,
96,I have got to cancel the last order I made,,,
97,I need assistance canceling the last order I have made,,,
98,question about canceling orders,,,
99,I do not know how I could cancel the order I have made,,,
100,I have problems with canceling my last order,,,
101,help with cancelling the order I have made,,,
102,I need assistance with canceling the order I have made,,,
103,problem with cancelling an order I have made,,,
104,I try to cancel the last order I have made,,,
105,I would like to know about order cancellations,,,
106,question about canceling my orders,,,
107,I do not know how I could cancel my last order,,,
108,how do I cancel the last order I have made?,,,
109,I would like information about canceling an order,,,
110,assistance cancelling my order,,,
111,how to cancel the last order I have made?,,,
112,I am trying to find information about cancelling an order,,,
113,can you help me to cancel the last order I have made?,,,
114,I need assistance cancelling an order,,,
115,how could I cancel the last order I have made?,,,
116,I am looking for information about order cancelations,,,
117,I have a problem with cancelling orders,,,
118,can you give me information about cancelling orders?,,,
119,I need assistance canceling the order I made,,,
120,how can I cancel the last order I have made?,,,
121,help me canceling an order I made,,,
122,I want assistance cancelling an order I have made,,,
123,I have a question about canceling the last order,,,
124,I do not know how to cancel the last order I made,,,
125,would it be possible to cancel the last order I have made?,,,
126,I want help to cancel the order I have made,,,
127,help me cancel the last order I made,,,
128,could you help me cancelling the order I made?,,,
129,I need assistance with canceling my last order,,,
130,can you help me cancel the last order?,,,
131,I do not want to pay for the last order I have made,,,
132,is it possible to cancel the last order I made?,,,
133,help with cancelling the last order I have made,,,
134,assistance cancelling the order I made,,,
135,I need help to cancel an order,,,
136,I have a problem with cancelling my last order,,,
137,I have problems with canceling the order I have made,,,
138,I don't know how to cancel an order,,,
139,I am trying to cancel the last order,,,
140,help cancelling my order,,,
141,I don't know how I can cancel the last order I made,,,
142,I want help canceling the order I have made,,,
143,I don't know how I could cancel an order I have made,,,
144,will you give me information about canceling an order?,,,
145,assistance with cancelling the last order I made,,,
146,I need to cancel my order,,,
147,I do not want to pay for the order I made,,,
148,how can I cancel an order?,,,
149,assistance canceling my last order,,,
150,I have problems with cancelling the last order I made,,,
151,I can't pay for the order I have made,,,
152,could you give me information about cancelling orders?,,,
153,I do not know how to cancel an order I have made,,,
154,where do I cancel the order I have made?,,,
155,I have a problem with canceling the last order I made,,,
156,help canceling the last order,,,
157,I need help with canceling an order I made,,,
158,help with cancelling the last order,,,
159,I want help to cancel my last order,,,
160,I do not know how I could cancel the last order I made,,,
161,I want assistance to cancel the last order,,,
162,where can I cancel the last order I made?,,,
163,can you tell me about order cancellations?,,,
164,could you help me canceling an order I have made?,,,
165,assistance cancelling the last order I made,,,
166,I would like to cancel the last order,,,
167,question about cancelling the last order,,,
168,problem with canceling my last order,,,
169,assistance cancelling an order I made,,,
170,how can I cancel an order I have made?,,,
171,I have a problem with cancelling the order I made,,,
172,problem with canceling the last order I have made,,,
173,assistance canceling the order I made,,,
174,how could I get information about cancelling orders?,,,
175,I want information about cancelling orders,,,
176,assistance cancelling my last order,,,
177,give me information about cancelling orders,,,
178,help to cancel an order I made,,,
179,can you help me to cancel an order I made?,,,
180,problem with canceling the order I made,,,
181,I do not want to pay for my last order,,,
182,can you help me cancel my last order?,,,
183,I need assistance to cancel an order,,,
